Date, Arena, Type, Raw Points, Points
2025/01/01,Middleton District Arena,story,10,35
2025/01/01,Veterans Memorial Sports Complex,story,10,22
2025/01/01,Veterans Memorial Sports Complex,note,11,23
2025/01/01,Middleton District Arena,photo,13,54
2025/01/01,Middleton District Arena,photo,16,77
2025/01/01,Middleton District Arena,photo,19,94
2025/01/01,Middleton District Arena,photo,22,112
2025/01/01,Middleton District Arena,photo,25,128
2025/01/01,Harrow Arena,story,10,10
2025/01/01,Harrow Arena,photo,13,14
2025/01/01,Middleton District Arena,story,35,157
2025/01/01,Middleton District Arena,photo,38,177
2025/01/01,Middleton District Arena,note,39,178
2025/01/01,Middleton District Arena,photo,42,197
2025/01/01,Veterans Memorial Sports Complex,note,12,24
2025/01/01,Sackville Arena (LDRA),story,10,44
2025/01/01,Middleton District Arena,story,52,232
2025/01/01,Middleton District Arena,photo,55,251
2025/01/01,Middleton District Arena,photo,58,269
2025/01/01,Veterans Memorial Sports Complex,photo,15,34
2025/01/01,Fort Erie Leisureplex,story,10,11
2025/01/01,Sackville Arena (LDRA),photo,13,59
2025/01/01,Middleton District Arena,story,68,298
2025/01/01,Veterans Memorial Sports Complex,video,25,53
2025/01/01,Honeywood Arena,photo,3,17
2025/01/01,Sackville Arena (LDRA),photo,16,72
2025/01/01,Sackville Arena (LDRA),story,26,109
2025/01/01,Sackville Arena (LDRA),photo,29,121
2025/01/01,Honeywood Arena,video,13,51
2025/01/01,Redwood Meadows Arena,video,10,14
2025/01/02,Aréna Saint-Boniface,story,10,41
2025/01/02,Aréna Saint-Boniface,photo,13,58
2025/01/02,Aréna Saint-Boniface,photo,16,73
2025/01/02,Middleton District Arena,story,78,329
2025/01/02,Sackville Arena (LDRA),photo,32,133
2025/01/02,Sackville Arena (LDRA),photo,35,145
2025/01/02,Aréna Saint-Boniface,note,17,74
2025/01/02,Flames Community Arenas,story,10,10
2025/01/02,Flames Community Arenas,photo,13,13
2025/01/02,Sydney Mines & District Community Centre,story,10,10
2025/01/02,Sydney Mines & District Community Centre,photo,13,13
2025/01/02,Sydney Mines & District Community Centre,photo,16,16
2025/01/02,Sydney Mines & District Community Centre,photo,19,19
2025/01/02,Veterans Memorial Sports Complex,story,35,74
2025/01/02,Veterans Memorial Sports Complex,photo,38,84
2025/01/02,Veterans Memorial Sports Complex,photo,41,94
2025/01/02,Veterans Memorial Sports Complex,photo,44,104
2025/01/02,Veterans Memorial Sports Complex,note,45,105
2025/01/02,Aréna Saint-Boniface,story,27,107
2025/01/02,Aréna Saint-Boniface,photo,30,120
2025/01/02,Aréna Saint-Boniface,photo,33,136
2025/01/02,Aréna Saint-Boniface,photo,36,152
2025/01/02,Sackville Arena (LDRA),story,45,182
2025/01/03,Honeywood Arena,note,14,52
2025/01/03,Honeywood Arena,photo,17,69
2025/01/03,Honeywood Arena,photo,20,86
2025/01/03,Honeywood Arena,story,30,117
2025/01/03,east Selkirk Recreation Centre,story,10,10
2025/01/03,Honeywood Arena,photo,33,132
2025/01/03,Honeywood Arena,photo,36,145
2025/01/03,Veterans Memorial Sports Complex,note,46,106
2025/01/03,Honeywood Arena,photo,39,161
2025/01/03,Honeywood Arena,note,40,162
2025/01/03,Veterans Memorial Sports Complex,story,56,126
2025/01/03,Veterans Memorial Sports Complex,photo,59,134
2025/01/03,Veterans Memorial Sports Complex,note,60,135
2025/01/03,Veterans Memorial Sports Complex,photo,63,144
2025/01/03,Veterans Memorial Sports Complex,note,64,145
2025/01/03,Honeywood Arena,story,50,191
2025/01/03,Honeywood Arena,photo,53,207
2025/01/03,Honeywood Arena,note,54,208
2025/01/03,Veterans Memorial Sports Complex,story,74,165
2025/01/03,Cape Breton County Arena,note,1,1
2025/01/03,Veterans Memorial Sports Complex,photo,77,174
2025/01/03,Moosonee Arena,photo,3,4
2025/01/03,Moosonee Arena,photo,6,8
2025/01/03,Glenn Hall Centennial Arena,story,10,10
2025/01/03,Moosonee Arena,note,7,9
2025/01/03,Glenn Hall Centennial Arena,photo,13,13
2025/01/03,Glenn Hall Centennial Arena,photo,16,16
2025/01/03,Glenn Hall Centennial Arena,note,17,17
2025/01/03,Veterans Memorial Sports Complex,story,87,195
2025/01/03,Veterans Memorial Sports Complex,photo,90,204
2025/01/03,Veterans Memorial Sports Complex,photo,93,213
2025/01/03,Veterans Memorial Sports Complex,photo,96,222
2025/01/03,Veterans Memorial Sports Complex,photo,99,231
2025/01/03,Veterans Memorial Sports Complex,note,100,232
2025/01/03,Moosonee Arena,story,17,20
2025/01/03,Honeywood Arena,story,64,235
2025/01/03,Moosonee Arena,story,27,31
2025/01/03,Moosonee Arena,photo,30,35
2025/01/04,Veterans Memorial Sports Complex,photo,103,242
2025/01/04,Veterans Memorial Sports Complex,photo,106,250
2025/01/04,Veterans Memorial Sports Complex,photo,109,259
2025/01/04,Veterans Memorial Sports Complex,photo,112,268
2025/01/04,Veterans Memorial Sports Complex,photo,115,276
2025/01/04,Veterans Memorial Sports Complex,photo,118,285
2025/01/04,Honeywood Arena,photo,67,250
2025/01/04,Honeywood Arena,photo,70,264
2025/01/04,Honeywood Arena,photo,73,281
2025/01/04,Honeywood Arena,photo,76,297
2025/01/04,Veterans Memorial Sports Complex,story,128,306
2025/01/04,Honeywood Arena,story,86,323
2025/01/04,Moosonee Arena,photo,33,39
2025/01/04,Moosonee Arena,photo,36,43
2025/01/04,Moosonee Arena,photo,39,47
2025/01/04,Middleton District Arena,note,79,330
2025/01/04,Middleton District Arena,photo,82,347
2025/01/04,Middleton District Arena,photo,85,365
2025/01/04,Veterans Memorial Sports Complex,story,138,327
2025/01/04,Sackville Arena (LDRA),story,55,217
2025/01/04,Honeywood Arena,photo,89,338
2025/01/04,Honeywood Arena,photo,92,354
2025/01/04,Ingersoll & District Memorial Centre,story,10,10
2025/01/04,Ingersoll & District Memorial Centre,photo,13,13
2025/01/04,Ingersoll & District Memorial Centre,photo,16,16
2025/01/04,Ingersoll & District Memorial Centre,photo,19,19
2025/01/04,Ingersoll & District Memorial Centre,photo,22,22
